Date,Reach,Sentiment
18-Jan-2023 07:57PM,0,Not Rated
18-Jan-2023 07:55PM,68,Neutral
18-Jan-2023 07:45PM,0,Not Rated
18-Jan-2023 07:43PM,45900888,Neutral
18-Jan-2023 07:42PM,0,Positive
18-Jan-2023 07:37PM,0,Not Rated
18-Jan-2023 07:30PM,20546289,Neutral
18-Jan-2023 07:30PM,0,Not Rated
18-Jan-2023 07:28PM,0,Not Rated
18-Jan-2023 07:11PM,449,Neutral
18-Jan-2023 07:05PM,93,Negative
18-Jan-2023 07:01PM,7,Negative
18-Jan-2023 06:59PM,0,Not Rated
18-Jan-2023 06:48PM,0,Neutral
18-Jan-2023 06:47PM,32795,Neutral
18-Jan-2023 06:46PM,0,Not Rated
18-Jan-2023 06:44PM,87284,Positive
18-Jan-2023 06:42PM,0,Not Rated
18-Jan-2023 06:24PM,0,Positive
18-Jan-2023 06:09PM,255,Neutral
18-Jan-2023 06:04PM,12719,Neutral
18-Jan-2023 06:02PM,0,Neutral
18-Jan-2023 06:01PM,0,Positive
18-Jan-2023 06:00PM,0,Neutral
18-Jan-2023 05:58PM,30,Negative
18-Jan-2023 05:44PM,0,Neutral
18-Jan-2023 05:43PM,0,Neutral
18-Jan-2023 05:43PM,0,Not Rated
18-Jan-2023 05:22PM,1127,Neutral
18-Jan-2023 05:21PM,237,Negative
